DATAFLOW,FREQ,INDICADOR,AREA_REF,ECO,SEXO,TIME_PERIOD,OBS_VALUE,OBS_STATUS,DECIMALS,NOTAS,FUENTE,NOTAS_INDICADOR,UNIDAD,MULT
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M05,37.45213568,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M06,37.2699538,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M07,37.31817438,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M08,37.16101294,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M09,36.59232961,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M10,37.40682944,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M11,38.02167267,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2018-M12,38.28986258,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M01,38.03096681,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M02,37.60434355,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M03,36.58224863,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M04,36.06173141,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M05,35.6748489,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M06,35.36212597,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M07,35.65338405,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M08,35.42603104,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M09,34.76265105,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M10,34.60255812,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M11,34.71632528,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2019-M12,34.68359162,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M01,34.25172388,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M02,32.97664749,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M03,32.07326288,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M04,28.5232462,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M05,26.34216278,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M06,26.46698623,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M07,25.81416303,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M08,25.50031042,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M09,25.96571504,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M10,27.06725939,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M11,28.93907995,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2020-M12,29.6645811,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M01,29.68010891,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M02,30.12960996,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M03,30.51099908,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M04,31.88264264,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M05,33.17241846,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M06,33.4299092,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M07,34.71346527,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M08,36.65292,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M09,37.45055059,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M10,37.58934083,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M11,37.89284541,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2021-M12,38.46853407,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2022-M01,38.41948336,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2022-M02,37.53135735,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2022-M03,37.1178925,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2022-M04,36.24441099,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2022-M05,36.00904797,NA,1,,RRAA Suseso,,Tasa,
CL01:DF_TRLMULT(1.0),M,TEL,_T,,,2022-M06,34.63958486,NA,1,,RRAA Suseso,,Tasa,
